category,question,option1,option2,option3,option4,correct_option,explanation
قوانین جاری کار,حداقل دستمزد روزانه‌ی کارگران در سال ۱۴۰۵ چند ریال است؟,"۵,۵۴۱,۸۵۰ ریال","۳,۲۰۰,۰۰۰ ریال","۷,۰۰۰,۰۰۰ ریال","۴,۵۰۰,۰۰۰ ریال",1,طبق مصوبه‌ی شورای عالی کار برای سال ۱۴۰۵، حداقل مزد روزانه ۵,۵۴۱,۸۵۰ ریال تعیین شد.
قوانین جاری کار,طبق قانون کار، حداکثر ساعت کار عادی در هفته چند ساعت است؟,۴۰ ساعت,۴۴ ساعت,۴۸ ساعت,۳۶ ساعت,2,بر اساس ماده ۵۱ قانون کار، ساعت کار عادی حداکثر ۴۴ ساعت در هفته است.
قوانین جاری کار,مرخصی استحقاقی سالانه‌ی کارگران طبق قانون کار چند روز کاری است؟,۱۲ روز,۱۸ روز,۲۶ روز,۳۰ روز,3,طبق ماده ۶۴ قانون کار، مرخصی استحقاقی سالانه معادل یک ماه (۲۶ روز کاری) است.
قوانین جاری کار,بر اساس بخشنامه‌ی ۱۴۰۵، حق اولاد ماهانه برای هر فرزند چقدر تعیین شد؟,حدود ۵۰۰ هزار تومان,حدود ۱.۶ میلیون تومان,حدود ۳ میلیون تومان,پرداخت نمی‌شود,2,طبق بخشنامه‌ی ۱۴۰۵، حق اولاد هر فرزند ماهانه حدود ۱.۶ میلیون تومان تعیین شد.
قوانین جاری کار,مدت مرخصی زایمان طبق قانون فعلی چند ماه است؟,۳ ماه,۶ ماه,۹ ماه,۱۲ ماه,3,طبق اصلاح ماده ۷۶ قانون تأمین اجتماعی، مرخصی زایمان از ۶ ماه به ۹ ماه افزایش یافت.
قوانین جاری کار,در صورت تولد دوقلو یا چندقلو، مرخصی زایمان به چند ماه افزایش می‌یابد؟,۹ ماه (بدون تغییر),۱۰ ماه,۱۲ ماه,۱۵ ماه,3,برای تولد دوقلو یا چندقلو، مدت مرخصی زایمان به ۱۲ ماه افزایش پیدا می‌کند.
قوانین جاری کار,مرخصی زایمان برای پدرانی که همسرشان در بخش خصوصی زایمان کرده، چقدر است؟,۲ روز,۲ هفته,۱ ماه,۳ ماه,2,طبق قانون، مرخصی زایمان پدر در بخش خصوصی ۲ هفته (۱۴ روز) در نظر گرفته شده است.
قوانین جاری کار,حداقل سن قانونی برای اشتغال به کار در ایران چند سال تمام است؟,۱۲ سال,۱۵ سال,۱۶ سال,۱۸ سال,2,طبق ماده ۷۹ قانون کار، به‌کارگیری افراد زیر ۱۵ سال تمام ممنوع است.
قوانین جاری کار,طبق قانون کار، کارگری با سن بین ۱۵ تا ۱۸ سال چه نام دارد؟,کارگر ساده,کارگر نوجوان,کارآموز ارشد,کارگر موقت,2,طبق ماده ۸۰ قانون کار، کارگر بین ۱۵ تا ۱۸ سال «کارگر نوجوان» نامیده می‌شود.
قوانین جاری کار,برای مشاغل سخت و زیان‌آور که برای نوجوانان خطرناک است، حداقل سن کار چند سال است؟,۱۵ سال,۱۶ سال,۱۷ سال,۱۸ سال,4,طبق ماده ۸۴ قانون کار، در مشاغل سخت و زیان‌آور حداقل سن کار ۱۸ سال تمام است.
قوانین جاری کار,ساعت کار روزانه‌ی کارگر نوجوان نسبت به کارگر بزرگسال چگونه است؟,یک ساعت بیشتر,برابر است,نیم ساعت کمتر,دو ساعت کمتر,3,قانون کار ساعت کار روزانه‌ی کارگر نوجوان را نیم ساعت کمتر از کارگر بزرگسال تعیین کرده است.
قوانین جاری کار,طبق قانون کار، دستمزد اضافه‌کاری چند درصد بیشتر از دستمزد ساعتی عادی است؟,۲۰ درصد,۴۰ درصد,۵۰ درصد,۱۰۰ درصد,2,بر اساس ماده ۵۹ قانون کار، به ازای هر ساعت اضافه‌کاری، ۴۰ درصد اضافه بر دستمزد ساعت عادی پرداخت می‌شود.
چالش‌های بازنشستگان,سن بازنشستگی مردان بیمه‌شده‌ی تأمین اجتماعی طبق قانون جدید بازنشستگی از چند سال به چند سال افزایش یافته؟,از ۵۵ به ۶۰,از ۶۰ به ۶۲,از ۶۲ به ۶۵,تغییری نکرده,2,طبق قانون جدید بازنشستگی، سن بازنشستگی مردان از ۶۰ به ۶۲ سال افزایش یافته است.
چالش‌های بازنشستگان,«متناسب‌سازی حقوق بازنشستگان» در سال ۱۴۰۵ در چه مرحله‌ای قرار دارد؟,مرحله اول,مرحله دوم,مرحله سوم,هنوز شروع نشده,3,مرحله اول در ۱۴۰۳، مرحله دوم در ۱۴۰۴ و مرحله سوم در سال ۱۴۰۵ اجرا شده است.
چالش‌های بازنشستگان,پرداخت معوقات فروردین‌ماه بازنشستگان تأمین اجتماعی شامل حال چند نفر می‌شد؟,حدود ۵۰۰ هزار نفر,حدود ۵.۳ میلیون نفر,حدود ۱ میلیون نفر,حدود ۱۰ میلیون نفر,2,طبق اطلاعیه‌ی رسمی سازمان، این معوقات شامل حال ۵ میلیون و ۳۰۰ هزار بازنشسته و مستمری‌بگیر بود.
چالش‌های بازنشستگان,در صورت فوت بیمه‌شده، «مستمری بازماندگان» معمولاً به کدام افراد تعلق می‌گیرد؟,فقط به همسر,فقط به فرزندان,همسر و فرزندان و والدین تحت تکفل واجد شرایط,به هیچ‌کس تعلق نمی‌گیرد,3,مستمری بازماندگان بسته به شرایط، بین همسر، فرزندان و والدین تحت تکفل بیمه‌شده‌ی متوفی تقسیم می‌شود.
چالش‌های بازنشستگان,کمک‌هزینه‌ی کفن و دفن تأمین اجتماعی معمولاً معادل چقدر است؟,یک ماه حداقل دستمزد,یک هفته حقوق,بدون کمک‌هزینه,سه ماه حقوق کامل,1,کمک‌هزینه‌ی کفن و دفن تأمین اجتماعی معادل یک ماه حداقل دستمزد مصوب همان سال است.
چالش‌های بازنشستگان,برای دریافت مقرری بیمه بیکاری، حداقل چند ماه سابقه‌ی پرداخت بیمه لازم است؟,۳ ماه,۶ ماه (با ۹۰ روز متوالی),۱ سال,۲ سال,2,طبق قانون بیمه بیکاری، حداقل ۶ ماه سابقه پرداخت بیمه که ۹۰ روز آن متوالی باشد لازم است.
چالش‌های بازنشستگان,حداکثر مدت دریافت مقرری بیمه بیکاری برای افراد متأهل یا دارای نان‌خور چند ماه است؟,۱۲ ماه,۲۴ ماه,۳۶ ماه,۵۰ ماه,4,حداکثر مدت مقرری بیمه بیکاری برای افراد متأهل یا دارای نان‌خور تا ۵۰ ماه است.
سلامت و بهداشت,طرح فعلی تأمین اجتماعی برای هدایت بیمه‌شدگان به یک پزشک مشخص پیش از مراجعه به متخصص چه نام دارد؟,نظام ارجاع و پزشک خانواده,طرح تحول سلامت,بیمه تکمیلی رایگان,کارت هوشمند درمان,1,معاونت درمان تأمین اجتماعی در حال اجرای برنامه‌ی «پزشکی خانواده و نظام ارجاع» است.
سلامت و بهداشت,کدام مورد جزو خدمات درمانی رایج تحت پوشش تأمین اجتماعی برای بازنشستگان است؟,بیمه بدنه خودرو,فیش دارویی و بیمه تکمیلی درمان,بیمه مسافرتی خارج از کشور,بیمه عمر و سرمایه‌گذاری,2,فیش دارویی و بیمه تکمیلی درمان از خدمات اصلی حوزه‌ی سلامت تأمین اجتماعی است.
سلامت و بهداشت,دفترچه‌ی درمانی کاغذی تأمین اجتماعی این روزها عمدتاً با چه چیزی جایگزین شده است؟,نسخه‌نویسی الکترونیک,دفترچه‌ی PDF,پیامک تأیید,هیچ‌کدام - همچنان کاغذی است,1,تأمین اجتماعی در حال گذار از دفترچه‌ی کاغذی به سامانه‌ی نسخه‌نویسی و نسخه‌پیچی الکترونیک است.
سلامت و بهداشت,غرامت دستمزد ایام بیماری (مرخصی استعلاجی) بیمه‌شدگان توسط کدام نهاد پرداخت می‌شود؟,وزارت بهداشت,سازمان تأمین اجتماعی,شهرداری,بیمه‌ی تکمیلی خصوصی به‌تنهایی,2,پرداخت غرامت دستمزد ایام بیماری بر عهده‌ی سازمان تأمین اجتماعی است.
سلامت و بهداشت,مادران شاغلی که فرزند خود را شیر می‌دهند، روزانه چند ساعت مرخصی شیردهی دارند؟,۱ ساعت,۲ ساعت,۳ ساعت,مرخصی شیردهی وجود ندارد,2,طبق قانون کار، مادران شیرده می‌توانند روزانه ۲ ساعت مرخصی برای تغذیه فرزند خود استفاده کنند.
کلیات تأمین اجتماعی,سازمان تأمین اجتماعی زیرمجموعه‌ی کدام وزارتخانه است؟,وزارت بهداشت,وزارت تعاون‌، کار و رفاه اجتماعی,وزارت اقتصاد,وزارت کشور,2,سازمان تأمین اجتماعی زیرمجموعه‌ی وزارت تعاون، کار و رفاه اجتماعی است.
کلیات تأمین اجتماعی,سازمان تأمین اجتماعی در چه سالی (شمسی) تأسیس شد؟,۱۳۴۵,۱۳۵۴,۱۳۶۰,۱۳۷۰,2,سازمان تأمین اجتماعی در سال ۱۳۵۴ با ادغام چند صندوق و سازمان قبلی تشکیل شد.
کلیات تأمین اجتماعی,«شستا» که در اخبار زیاد شنیده می‌شود، مخفف چیست؟,شرکت سرمایه‌گذاری تأمین اجتماعی,شورای عالی تأمین اجتماعی,ستاد هماهنگی تأمین اجتماعی,سازمان حمایت از تأمین اجتماعی,1,شستا مخفف «شرکت سرمایه‌گذاری تأمین اجتماعی» است، بزرگ‌ترین هلدینگ سرمایه‌گذاری این سازمان.
کلیات تأمین اجتماعی,کمک‌هزینه‌ی ازدواج تأمین اجتماعی معمولاً معادل چقدر است؟,یک ماه حداقل دستمزد,یک هفته حقوق,بدون کمک‌هزینه,شش ماه حقوق,1,کمک‌هزینه‌ی ازدواج معادل یک ماه حداقل دستمزد مصوب همان سال به بیمه‌شده پرداخت می‌شود.
کلیات تأمین اجتماعی,مستمری بازنشستگی معمولاً بر چه اساسی محاسبه می‌شود؟,آخرین حقوق دریافتی,میانگین دستمزد دو سال آخر,میانگین کل دوران کاری,یک مبلغ ثابت برای همه,2,مبنای محاسبه‌ی مستمری بازنشستگی، میانگین دستمزد بیمه‌شده در دو سال آخر کاری است.
کلیات تأمین اجتماعی,«ایلنا»، یکی از منابع اصلی اخبار این کانال، خبرگزاری کدام نهاد است؟,وزارت کار,خبرگزاری کار ایران (تشکل‌های کارگری),سازمان تأمین اجتماعی,شهرداری تهران,2,ایلنا (خبرگزاری کار ایران) وابسته به تشکل‌های کارگری است و در اخبار کارگری و تأمین اجتماعی فعال است.
کلیات تأمین اجتماعی,کانون عالی کارگران بازنشسته چه نوع نهادی است؟,یک شرکت خصوصی,یک نهاد صنفی برای پیگیری حقوق بازنشستگان,یک بانک,یک وزارتخانه,2,کانون عالی کارگران بازنشسته یک نهاد صنفی است که پیگیر مطالبات و حقوق بازنشستگان کارگری است.
کلیات تأمین اجتماعی,سهمی که مستقیماً از حقوق ماهانه‌ی کارگر برای بیمه‌ی تأمین اجتماعی کسر می‌شود، چند درصد است؟,۳ درصد,۷ درصد,۱۵ درصد,۳۰ درصد,2,سهم بیمه‌ی تأمین اجتماعی که از حقوق خودِ کارگر کسر می‌شود، ۷ درصد است (باقی سهم را کارفرما و دولت می‌پردازند).
کلیات تأمین اجتماعی,صندوق بازنشستگی کشوری (متفاوت از تأمین اجتماعی) عمدتاً پوشش‌دهنده‌ی کدام گروه است؟,کارگران بخش خصوصی,کارمندان دولت (غیرنظامی),رانندگان تاکسی,کشاورزان,2,صندوق بازنشستگی کشوری عمدتاً کارمندان رسمی دولت را پوشش می‌دهد، جدا از تأمین اجتماعی کارگران بخش خصوصی.
کلیات تأمین اجتماعی,روز جهانی کارگر (که در ایران هم بزرگداشت می‌شود) در چه تاریخی است؟,۱ اردیبهشت,۱۱ اردیبهشت,۱ خرداد,۱۱ خرداد,2,روز جهانی کارگر برابر با اول ماه مه میلادی است که در تقویم شمسی معمولاً ۱۱ اردیبهشت می‌شود.
